industry,us_val,us_share,sf_val,sf_share,LQ,basic,Non-basic,,
0,185798800,1,835966,1,,,,0,
11,3580000,0.019,221,0,0,0,221,,
21,1692000,0.009,1116,0.001,0.111111111,0,1116,,
22,582400,0.003,,,0,0,0,,
23,9610400,0.052,24753,0.03,0.576923077,0,24753,,
31-33,12993400,0.07,12894,0.015,0.214285714,0,12894,,
42,6419700,0.035,17865,0.021,0.6,0,17865,,
44-45,18710900,0.101,54754,0.065,0.643564356,0,54754,,
48-49,6225000,0.034,,,0,0,0,,
51,3302000,0.018,32647,0.039,2.166666667,17790.28547,14856.71453,17790.28547,14856.71453
52,9833100,0.053,59962,0.072,1.358490566,15719.85595,44242.14405,15719.85595,
53,8135100,0.044,39891,0.048,1.090909091,3288.680681,36602.31932,,
54,12822700,0.069,153916,0.184,2.666666667,96222.72519,57693.27481,,
55,2336000,0.013,22049,0.026,2,11538.61685,10510.38315,,
56,11734900,0.063,52413,0.063,1,-385.9277294,52798.92773,,
61,4439000,0.024,26510,0.032,1.333333333,6537.572439,19972.42756,,
62,20832900,0.112,78003,0.093,0.830357143,0,78003,,
71,4149400,0.022,27604,0.033,1.5,8934.571993,18669.42801,,
72,13476300,0.073,82438,0.099,1.356164384,21803.97757,60634.02243,,
81,10893600,0.059,45525,0.054,0.915254237,0,45525,,
92,24030000,0.129,103315,0.124,0.96124031,0,103315,,
,,,,,,,,,
,,,,,,,,,
,,,,,,181450.3584,654425.6416,,
,,,,,,,,,
,,,,,,,3.60663736,3.60663736,