industry,us_val,us_share,sf_val,sf_share
0,185798800,1,835966,1
11,3580000,0.019,221,0
21,1692000,0.009,1116,0.001
22,582400,0.003,,
23,9610400,0.052,24753,0.03
31-33,12993400,0.07,12894,0.015
42,6419700,0.035,17865,0.021
44-45,18710900,0.101,54754,0.065
48-49,6225000,0.034,,
51,3302000,0.018,32647,0.039
52,9833100,0.053,59962,0.072
53,8135100,0.044,39891,0.048
54,12822700,0.069,153916,0.184
55,2336000,0.013,22049,0.026
56,11734900,0.063,52413,0.063
61,4439000,0.024,26510,0.032
62,20832900,0.112,78003,0.093
71,4149400,0.022,27604,0.033
72,13476300,0.073,82438,0.099
81,10893600,0.059,45525,0.054
92,24030000,0.129,103315,0.124